carpeta,categoria,video_name,video_path,fps,frame_count,width,height,duration,resolution
1,ABECEDARIO,Z,1/ABECEDARIO/Z.mp4,29.97,92,600,480,3.0697364030697365,600x480
1,ABECEDARIO,ALFABETO,1/ABECEDARIO/ALFABETO.mp4,29.97,195,600,480,6.506506506506507,600x480
1,ABECEDARIO,B,1/ABECEDARIO/B.mp4,29.97,59,600,480,1.9686353019686353,600x480
1,ABECEDARIO,G,1/ABECEDARIO/G.mp4,29.97,60,600,480,2.002002002002002,600x480
1,ABECEDARIO,H,1/ABECEDARIO/H.mp4,29.97,76,600,480,2.5358692025358693,600x480
1,ABECEDARIO,K,1/ABECEDARIO/K.mp4,29.97,55,600,480,1.8351685018351687,600x480
1,ABECEDARIO,LL,1/ABECEDARIO/LL.mp4,29.97,66,600,480,2.2022022022022023,600x480
1,ABECEDARIO,M,1/ABECEDARIO/M.mp4,29.97,67,600,480,2.235568902235569,600x480
1,ABECEDARIO,N,1/ABECEDARIO/N.mp4,29.97,83,600,480,2.7694361027694363,600x480
1,ABECEDARIO,Ñ,1/ABECEDARIO/Ñ.mp4,29.97,66,600,480,2.2022022022022023,600x480
1,ABECEDARIO,R,1/ABECEDARIO/R.mp4,29.97,73,600,480,2.4357691024357693,600x480
1,ABECEDARIO,RR,1/ABECEDARIO/RR.mp4,29.97,66,600,480,2.2022022022022023,600x480
1,ABECEDARIO,U,1/ABECEDARIO/U.mp4,29.97,75,600,480,2.5025025025025025,600x480
1,ABECEDARIO,V,1/ABECEDARIO/V.mp4,29.97,59,600,480,1.9686353019686353,600x480
1,ABECEDARIO,W,1/ABECEDARIO/W.mp4,29.97,67,600,480,2.235568902235569,600x480
1,ABECEDARIO,X,1/ABECEDARIO/X.mp4,29.97,67,600,480,2.235568902235569,600x480
1,ABECEDARIO,O,1/ABECEDARIO/O.mp4,29.97,77,600,480,2.569235902569236,600x480
1,ABECEDARIO,A,1/ABECEDARIO/A.mp4,29.97,57,600,480,1.901901901901902,600x480
1,ABECEDARIO,C,1/ABECEDARIO/C.mp4,29.97,76,600,480,2.5358692025358693,600x480
1,ABECEDARIO,CH,1/ABECEDARIO/CH.mp4,29.97,97,600,480,3.2365699032365702,600x480
1,ABECEDARIO,D,1/ABECEDARIO/D.mp4,29.97,70,600,480,2.335669002335669,600x480
1,ABECEDARIO,E,1/ABECEDARIO/E.mp4,29.97,76,600,480,2.5358692025358693,600x480
